Store,BranchName,City,Country,Latitude,Longitude,DisplayName
1,Berlin Flagship Store 0001,Berlin,Germany,52.507454,13.450071,"Berlin Flagship Store 0001 | Berlin, Germany"
2,Munich Central Store 0002,Munich,Germany,48.158299,11.591866,"Munich Central Store 0002 | Munich, Germany"
3,Hamburg Downtown Store 0003,Hamburg,Germany,53.516702,9.959299,"Hamburg Downtown Store 0003 | Hamburg, Germany"
4,Frankfurt Metro Store 0004,Frankfurt,Germany,50.066708,8.718718,"Frankfurt Metro Store 0004 | Frankfurt, Germany"
5,Cologne Retail Hub Store 0005,Cologne,Germany,50.947612,6.981107,"Cologne Retail Hub Store 0005 | Cologne, Germany"
6,Paris Commercial Store 0006,Paris,France,48.808658,2.399191,"Paris Commercial Store 0006 | Paris, France"
7,Lyon Prime Store 0007,Lyon,France,45.797244,4.806934,"Lyon Prime Store 0007 | Lyon, France"
8,Marseille Mall Store 0008,Marseille,France,43.264682,5.33814,"Marseille Mall Store 0008 | Marseille, France"
9,Lille Flagship Store 0009,Lille,France,50.609624,3.059776,"Lille Flagship Store 0009 | Lille, France"
10,London Central Store 0010,London,United Kingdom,51.500595,-0.148677,"London Central Store 0010 | London, United Kingdom"
11,Manchester Downtown Store 0011,Manchester,United Kingdom,53.491985,-2.278651,"Manchester Downtown Store 0011 | Manchester, United Kingdom"
12,Birmingham Metro Store 0012,Birmingham,United Kingdom,52.465414,-1.903764,"Birmingham Metro Store 0012 | Birmingham, United Kingdom"
13,Liverpool Retail Hub Store 0013,Liverpool,United Kingdom,53.404007,-2.963082,"Liverpool Retail Hub Store 0013 | Liverpool, United Kingdom"
14,Rome Commercial Store 0014,Rome,Italy,41.872767,12.497823,"Rome Commercial Store 0014 | Rome, Italy"
15,Milan Prime Store 0015,Milan,Italy,45.473441,9.144645,"Milan Prime Store 0015 | Milan, Italy"
16,Naples Mall Store 0016,Naples,Italy,40.862554,14.235152,"Naples Mall Store 0016 | Naples, Italy"
17,Turin Flagship Store 0017,Turin,Italy,45.026805,7.731789,"Turin Flagship Store 0017 | Turin, Italy"
18,Madrid Central Store 0018,Madrid,Spain,40.463363,-3.67296,"Madrid Central Store 0018 | Madrid, Spain"
19,Barcelona Downtown Store 0019,Barcelona,Spain,41.365561,2.133167,"Barcelona Downtown Store 0019 | Barcelona, Spain"
20,Valencia Metro Store 0020,Valencia,Spain,39.488323,-0.382285,"Valencia Metro Store 0020 | Valencia, Spain"
21,Seville Retail Hub Store 0021,Seville,Spain,37.351304,-5.984982,"Seville Retail Hub Store 0021 | Seville, Spain"
22,Amsterdam Commercial Store 0022,Amsterdam,Netherlands,52.321039,4.945032,"Amsterdam Commercial Store 0022 | Amsterdam, Netherlands"
23,Rotterdam Prime Store 0023,Rotterdam,Netherlands,51.900278,4.493952,"Rotterdam Prime Store 0023 | Rotterdam, Netherlands"
24,The Hague Mall Store 0024,The Hague,Netherlands,52.051671,4.302707,"The Hague Mall Store 0024 | The Hague, Netherlands"
25,Brussels Flagship Store 0025,Brussels,Belgium,50.854971,4.320185,"Brussels Flagship Store 0025 | Brussels, Belgium"
26,Antwerp Central Store 0026,Antwerp,Belgium,51.266358,4.430013,"Antwerp Central Store 0026 | Antwerp, Belgium"
27,Zurich Downtown Store 0027,Zurich,Switzerland,47.42085,8.581183,"Zurich Downtown Store 0027 | Zurich, Switzerland"
28,Geneva Metro Store 0028,Geneva,Switzerland,46.21419,6.185387,"Geneva Metro Store 0028 | Geneva, Switzerland"
29,Vienna Retail Hub Store 0029,Vienna,Austria,48.167049,16.343398,"Vienna Retail Hub Store 0029 | Vienna, Austria"
30,Salzburg Commercial Store 0030,Salzburg,Austria,47.764023,13.037533,"Salzburg Commercial Store 0030 | Salzburg, Austria"
