Store,DayOfWeek,Date,Sales,Customers,Open,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear,DayOfYear,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,Dow_sin,Dow_cos,CompetitionOpenMonths,CompetitionDistanceBin,Promo2Active,PromoOpenMonths,Promo_DayOfWeek,Promo_Competition,Promo2_Competition,LogSales,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c
1,5,2015-07-31,5263,555,1,1,1,1270.0,9,2008,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,84.13333333333334,1,0,0.0,5,1270.0,0.0,8.568646473005153,0,0,1,0,1,0,0,1,0,0,0
2,5,2015-07-31,6064,625,1,1,1,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,94.3,1,1,67.9,5,570.0,570.0,8.71028982137815,1,0,0,0,1,0,0,1,0,0,0
3,5,2015-07-31,8314,821,1,1,1,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,105.46666666666667,4,1,55.733333333333334,5,14130.0,14130.0,9.025816391627028,1,0,0,0,1,0,0,1,0,0,0
4,5,2015-07-31,13995,1498,1,1,1,620.0,9,2009,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,71.96666666666667,1,0,0.0,5,620.0,0.0,9.54652685348758,0,0,1,0,0,0,1,1,0,0,0
5,5,2015-07-31,4822,559,1,1,1,29910.0,4,2015,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,4.033333333333333,4,0,0.0,5,29910.0,0.0,8.481151420068972,1,0,0,0,1,0,0,1,0,0,0
6,5,2015-07-31,5651,589,1,1,1,310.0,12,2013,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,20.233333333333334,0,0,0.0,5,310.0,0.0,8.639764743804419,1,0,0,0,1,0,0,1,0,0,0
7,5,2015-07-31,15344,1414,1,1,1,24000.0,4,2013,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,28.366666666666667,4,0,0.0,5,24000.0,0.0,9.638544967053836,1,0,0,0,0,0,1,1,0,0,0
8,5,2015-07-31,8492,833,1,1,1,7520.0,10,2014,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,10.1,3,0,0.0,5,7520.0,0.0,9.04699757378001,1,0,0,0,1,0,0,1,0,0,0
9,5,2015-07-31,8565,687,1,1,1,2030.0,8,2000,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,182.56666666666666,2,0,0.0,5,2030.0,0.0,9.055556158175316,1,0,0,0,0,0,1,1,0,0,0
10,5,2015-07-31,7185,681,1,1,1,3160.0,9,2009,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,71.96666666666667,2,0,0.0,5,3160.0,0.0,8.879889967673464,1,0,0,0,1,0,0,1,0,0,0
